Reference Number,Easting,Northing,Number of Vehicles,Number of Casualties,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
10MU0000661,423935,428097,1,1,22-Jan-10,2049,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,9
10MU0000698,426709,429863,1,1,22-Jan-10,1439,1,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,28,9
10AA0000533,427980,435129,4,1,23-Jan-10,0120,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,9
10AA0000556,426542,432008,2,1,23-Jan-10,1215,6,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,49,19
10BA0000543,432566,434372,2,1,23-Jan-10,1135,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,27,9
10CA0000504,429795,433788,1,1,23-Jan-10,1020,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,19,9
10CA0000531,435796,428227,1,1,23-Jan-10,1239,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,9
10AA0000491,421055,439380,2,2,24-Jan-10,1140,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,86,9
10AA0000491,421055,439380,2,2,24-Jan-10,1140,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,86,9
10BA0000517,440139,426162,2,1,24-Jan-10,0920,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,42,1
10CA0000558,428741,432716,2,2,24-Jan-10,1310,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,24,9
10CA0000558,428741,432716,2,2,24-Jan-10,1310,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,23,9
10AA0000637,429309,435027,2,1,25-Jan-10,1735,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,37,9
10BA0000789,434563,433642,2,1,25-Jan-10,0814,6,Wet / Damp,Daylight: street lights present,Other,Driver,Slight,Female,52,9
10MU0000645,432052,425612,2,1,25-Jan-10,1848,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,9
10AA0000604,427997,436012,2,1,26-Jan-10,1830,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,23,1
10AA0000614,427325,437192,2,1,26-Jan-10,1655,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,47,4
10BA0000606,429175,438565,2,2,26-Jan-10,0825,3,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,43,9
10BA0000606,429175,438565,2,2,26-Jan-10,0825,3,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,9
10CA0000640,430344,428101,2,1,26-Jan-10,1900,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,45,4
10CA0000618,430028,434105,2,1,27-Jan-10,1230,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,40,20
10CA0000646,433562,429749,2,3,27-Jan-10,2242,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,29,9
10CA0000646,433562,429749,2,3,27-Jan-10,2242,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,56,21
10CA0000646,433562,429749,2,3,27-Jan-10,2242,3,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,22,9
10CA0000739,429279,430095,2,2,27-Jan-10,2100,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,21,9
